법인코드,법인명,업종,상장일자,주요품목
A003090,대웅,제약,19730626,"지주회사/의약품,화공약품,농예약품,위생용품,의료용구,식품,전기전자기구,부품 제조,판매"
A003100,선광,운송인프라,19991221,"항만하역, 해사(바다모래)"
A003120,일성신약,제약,19850114,"의약품(항생제,화학료법제,항바이러스,근이완제,영양액륜) 제조,판매"
A003160,디아이,반도체와반도체장비,19960731,"반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업"
A003200,일신방직,"섬유,의류,신발,호화품",19730523,"면사,P/C혼방사,P/C혼방직물,화섬사 제조,수출"
A003220,대원제약,제약,19991215,"의약품(소화제,항생제,호흡기제,해열제,호르몬제) 제조,도매"
A003230,삼양식품,식품,19750630,"라면,스낵,유제품,장유,식용유,사료,향신료,건강음료(루이보스 티) 제조,도매"
A003240,태광산업,화학,19751227,"석유화학제품(PTA,AN),화섬사,직물 등"
A003280,흥아해운,해운사,19760629,"해상운송(일본항로,동남아항로)"
A003300,한일시멘트,건축자재,19691120,"시멘트,레미콘,레미탈 제조,수출,부원료수입/폐기물 처리/재생사업,관련시설 설계,시공"
A003310,대주산업,식품,19960701,배합사료
A003350,한국화장품제조,화장품,19780206,"화장품(칼리,파메스,오션,메이몽) 제조,시판,방판,직판/부동산 임대"
A003410,쌍용양회,건축자재,19750503,시멘트(크링카)
A003450,현대증권,증권,19750930,"수입수수료,금융수익,증권매매익"
A003460,유화증권,증권,19870824,증권업
A003470,유안타증권,증권,19880121,"유가증권 매매,중개,대리,인수"
A003480,한진중공업홀딩스,조선,19560303,지주회사
A003490,대한항공,항공사,19660318,"여객운송,화물운송,항공기 제조,판매,정비수리/기내식 제조판매,면세품 판매"
A003520,영진약품,제약,19730625,"의약품(드링크제,항생제,영양수액제),의약부외품 제조,판매"
A003530,한화투자증권,증권,19861125,"유가증권 위탁매매,자기매매,인수주선"
A003540,대신증권,증권,19751001,"유가증권 위탁매매,인수주선,자기매매 기타 금융서비스"
A003550,LG,복합기업,19700213,지주회사
A003560,IHQ,방송과엔터테인먼트,19731218,"매니지먼트, 음반, 드라마 제작, 유료방송, 프로그램 공급, 광고대행"
A003570,S&T중공업,자동차부품,19760708,"자동차부품(동력전달장치 등),공작기계(CNC선반 등),사출성형기 제조"
A003580,동원,건축자재,19900323,"무연탄채굴,원유,유전개발,가스전 개발/부동산 임대"
A003610,방림,"섬유,의류,신발,호화품",19890530,"P/C혼방직물,면방적,각종사류,직물류 제조,도소매"
A003620,쌍용차,자동차,19750529,"자동차,자동차부품,차륜,정비 제조/도소매"
A003650,미창석유,석유와가스,19890927,"윤활유,고무배합유,전기절연유 제조,판매,수출입"
A003670,포스코켐텍,비철금속,20011101,"염기성내화물, 협력작업수입"
A003680,한성기업,식품,19890126,"냉동식품,햄제품 제조,도매,보관/원양어업"
A003690,코리안리,손해보험,19691222,금융보험/부동산 임대
A003720,삼영화학,화학,19760630,"합성수지(BOPP,캐파시타),PPC,랩,종이상자(카톤팩) 제조"
A003780,진양산업,화학,19730626,"합성수지,폴리우레탄스폰지 제조,도매,수출입"
A003800,에이스침대,가구,19960701,침대
A003830,대한화섬,화학,19851223,"화학섬유원사(FY,PTY,S.FIBER)제조"
A003850,보령제약,제약,19881024,"의약품(제산제(겔포스),구심,용각산,고혈압치료제(카프릴),소염진통제(멘소레담),항생제(듀리세프),혈전치료제(아스트릭스)) 제조"
A003920,남양유업,식품,19780624,"시유,조제분유,발효유,이유밀,치즈,프렌치까페 제조,도매"
A003960,사조대림,식품,19760916,"게맛살,어육연제품,식용류,배합사료 제조"
A004000,롯데정밀화학,화학,19760415,"염소·셀룰로스계열, 암모니아 계열, 전자재료 등 화학제품 제조"
A004020,현대제철,철강,19870523,"H형강,제철,제강,철근,압연,스테인레스,주강,시트파일 제조,수출입,중기부품(탱크바퀴)제조,판매"
A004060,SG세계물산,"섬유,의류,신발,호화품",19760419,"피복류,봉제품,P.E제품 수출입,도매,제조/조경사업"
A004080,신흥,건강관리장비와용품,19910208,"치과용기자재(방사선장치,전기진단장치),주사침 도소매,제조/부동산 임대"
A004090,한국석유,화학,19770625,"석유류제품(솔벤트,부로운아스팔트,방수시트몰터프라스,메타놀,빙초산) 제조,도소매/부동산 임대"
A004100,태양금속,자동차부품,19760525,"자동차용 강력볼트,너트,전기전자제품용 나사,자전거부품,전해동박,도금도장설비 제조"
A004130,대덕GDS,전자장비와기기,19870810,"인쇄회로기판 제조,무역대리"
A004140,동방,항공화물운송과물류,19880810,"육상운송,해상운송,항만화물하역,보관,창고,물류사업"
A004150,한솔홀딩스,종이와목재,19720517,"지주회사,경영자문컨설팅"
A004170,신세계,백화점과일반상점,19850819,"백화점,할인점(E마트)"
A004200,고려개발,건설,19781030,"도로건설공사,토목공사,건축공사"
A004250,NPC,화학,19690908,"산업용기프라스틱제품(플라스틱 파렛트,시트 파렛트) 제조,판매"
A004270,남성,전자장비와기기,19891114,"수출입(카오디오)/통신기기 제조,판매/이동통신,유선방송,정보통신/생활필수품,식품 판매/부동산 임대"
A004310,현대약품,제약,19780628,"타코실, 마이녹실, 테놀민, 미에로화이바 등"
A004360,세방,항공화물운송과물류,19770519,"도로운송,항만하역,창고,지게차 임대"
A004370,농심,식품,19760630,"라면,스낵,유지 제조,도매,수출입"
A004380,삼익THK,기계,19890926,"직선운동시스템,메카트로시스템,기타정밀 자동화기기 제조,판매/전자상거래,인터넷 관련 s/w,h/w 개발,판매,유지보수"
A004410,서울식품,식품,19731228,"빵,스넥,마아가린,유지류,사료 제조,도매"
A004430,송원산업,화학,19770625,"폴리머첨가제(PVC안정제,산화방지제),폴리우레탄수지,프라스틱첨가제 제조"
A004440,대림씨엔에스,건축자재,20160330,"PHC파일, 골재, 강교제작"
A004450,삼화왕관,포장재,19760528,"납세용 일반병마개,알루미늄캡,플라스틱캡 제조,판매,금속인쇄,수출"
A004490,세방전지,자동차부품,19871128,"자동차용 및 산업용 축전지(연축전지) 제조,판매"
A004540,깨끗한나라,가정용품,19750625,"펄프,판지원지,화장지 제조,수출입"
A004560,현대비앤지스틸,비철금속,19870324,"스텐레스냉연강판,특수강 제조"
A004590,한국가구,가구,19960701,소파
A004650,창해에탄올,음료,20140730,"주정(발효주정, 정제주정) 등"
A004690,삼천리,가스유틸리티,19761223,도시가스 공급/부동산 임대
A004700,조광피혁,"섬유,의류,신발,호화품",19770527,"가죽(피혁원단,제화용원단,카시트용원단),가방,신발 제조,도매"
A004710,한솔테크닉스,디스플레이장비및부품,19880706,"백라이트유닛,인버터,폴리바리콘,모니터,통신장비 제조"
A004720,우리들제약,제약,19900615,의약품 외
A004740,보루네오,가구,19880922,"가정용가구,주방가구,사무용가구,제재목 제조,도소매,무역(원목,합판)"
A004770,써니전자,전자장비와기기,19870422,"수정진동자,수정발진기,초음파지연선,MCF,축수나사 제조,도매,수출입"
A004780,대륙제관,포장재,19960701,휴대용부탄가스 및 금속포장용기
A004800,효성,화학,19730630,"스판덱스,합성원사,나일론,폴리에스터,타이어코드지,PET병,수지제품,중전기제품(변압기,차단기),사무용기계,컴퓨터 제조/건축공사"
A004830,덕성,"섬유,의류,신발,호화품",19870925,"플라스틱레쟈,합성수지,합성피혁 제조,도매"
A004840,DRB동일,자동차부품,19760521,"고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매"
A004870,티웨이홀딩스,항공사,19770630,"레미콘,콘크리트파일,완구 제조/미니어쳐테마파크 운영"
A004890,동일산업,철강,20050630,"봉강,합금철,철근,마봉강,냉간압조용선재,주조,지선,주강,다이아몬드공구 제조,도매"
A004910,조광페인트,건축자재,19761227,"도료(우레탄,에나멜,락카,특수도료) 제조,도매"
A004920,씨아이테크,컴퓨터와주변기기,19891130,"컴퓨터 소프트웨어,하드웨어 서버,도매"
A004960,한신공영,건설,19760707,"토목공사,건축공사,주택건설,유통업(백화점),문화교실,주차장"
A004970,신라교역,식품,19760630,"원양어업(참치,명태,휠레트,연육,명란,새우),어획물 판매/직물 수출"
A004980,성신양회,건축자재,19760630,"시멘트,레미콘 제조"
A004990,롯데제과,식품,19740216,"과자류,빙과류,껌 제조"
A005010,휴스틸,철강,19730629,"강관(배관용,구조용,유정용) 제조,도매"
A005030,부산주공,자동차부품,19751226,"자동차부품(엔진부품,조향장치부품,브레이장치부품,오토미셧부품) 제조,도매/부동산 임대"
A005070,코스모신소재,화학,19870928,"이차전지양극활물질,기능성필름"
A005090,삼광글라스,포장재,19930106,"병유리(투명유리병/칼라유리병/박카스병/쥬스병/커피병/소주병/화장품용기),유리식기,크리스탈용기,렌지용 주방용기의 제조 판매"
A005110,한창,판매업체,19760601,"소화기, 통신장비 유통"
A005160,동국산업,철강,19990625,"철강무역,강판제품제조"
A005180,빙그레,식품,19780831,"아이스크림,우유,스낵,유산균(욥닥터캡슐) 제조"
A005190,동성화학,화학,19880701,"화합물,화학제품(폴리우레탄수지,접착제,표면처리제,특수도료,폴리올) 제조"
A005250,녹십자홀딩스,제약,19780828,"알부민,유로키나제,간염백신,유행성출혈열백신 제조"
A005290,동진쎄미켐,전자장비와기기,19991221,"반도체,LCD용재료(감광제,봉지제),발포제"
A005300,롯데칠성,음료,19730621,"청량음료,과채류음료,곡류음료,주류 제조,판매/자동차정비,연수원"
A005320,국동,"섬유,의류,신발,호화품",19961224,"셔츠,스웨터,파자마(섬유제품) 제조,판매,수출/부동산 임대"
A005360,모나미,문구류,19740626,"잉크카트리지 수입,판매/필기구(중성펜,볼펜,사인펜,젤러펜,카드네임펜),회화구류,종합문구류 제조/부동산 임대"
A005380,현대차,자동차,19740628,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업"
A005390,신성통상,"섬유,의류,신발,호화품",19751222,"의류,악세사리(모자,벨트,가방) 도매/의류 제조"
A005420,코스모화학,화학,19870723,"이산화티타늄 및 부산물, 황산코발트 및 부산물"
A005430,한국공항,운송인프라,19761228,"항공기 지상조업,항공화물 상하역,장비대여,항공용역사업,항공기급유,항공화물 취급,보관,부정기헬기운송,여행알선,광업,먹는샘물 제조,농축산업"
A005440,현대그린푸드,식품과기본식료품소매,19890822,"백화점,여행알선,숙박,음식점/부동산 임대"
A005450,신한,건설,19780728,"건축공사,토목공사,전기공사,통신공사,주택건설,기계설비공사,철골공사/철구조물 제조"
A005490,POSCO,철강,19880610,"열연코일,냉연강판,후판,선재,스테인리스 제조"
A005500,삼진제약,제약,19880618,"의약품(게보린,세트라졸,염산나록손) 제조,판매,수출입,약초재배"
A005610,삼립식품,식품,19750502,"빵,아이스크림,과자,케익,유산균음료,인스턴트식품,병조림,면류,식용유 제조,판매"
A005620,대성합동지주,석유와가스,19761228,"석유 판매,가스,연탄,섬유제품 제조/종합건설,콘테이너,기계,화물,위생냉난방,해외유전 개발"
A005670,푸드웰,식품,19960701,"깐밤, 통조림류, 딸기시럽류, 음료제품 등"
A005680,삼영전자,전기제품,19761228,"전자부품(알루미늄 전해콘덴서),전기이중층콘덴서,센서 제조,도매"
A005690,파미셀,화학,19880520,"줄기세포치료제,화장품"
A005710,대원산업,자동차부품,19960701,자동차시트
A005720,넥센,자동차부품,19871219,"자동차용 재생타이어튜브,솔리드타이어,고무부품,골프볼,와이어로프소재,특수강선,열처리도금선,건자재 제조,판매,수출입"
A005740,크라운제과,식품,19760630,"비스켓,쵸코렛,사탕,웨이퍼 제조,도매"
A005750,대림B&Co,건축제품,19921223,"위생도기,내장타일,조립식욕실제품 제조,판매/부동산 임대"
A005800,신영와코루,"섬유,의류,신발,호화품",19761228,"여성용 내의류(화운데이션,란제리,블래지어),환자,노령자용 파자마,남성용 내의류 제조"
A005810,풍산홀딩스,비철금속,19880728,"동판제,대,관,봉,선,소전,동파이프 제조,도매,무역"
A005820,원림,포장재,19900420,"고무,플라스틱제품,산업용포장재,PP.BAG,타포린 제조,도매/부동산 임대/주택 신축,판매/인터넷 정보통신/벤처회사 투자"
A005830,동부화재,손해보험,19730628,"자동차보험,화재보험,해상보험,특종보험,장기보험"
A005850,에스엘,자동차부품,19881108,"자동차부품(자동차램프류,샤시와조향기기,케스터홀더) 제조"
A005860,한일사료,식품,19960701,배합사료
A005870,휴니드,우주항공과국방,19910903,"무선통신기기,군납용무전기,위성방송수신기 제조"
A005880,대한해운,해운사,19920423,"외항화물운송,국제해운대리점"
A005930,삼성전자,반도체와반도체장비,19750611,"IMT2000 서비스용 동기식 기지국,교환국장비,데이터단말기,동영상휴대폰,핵심칩,반도체제품,사무,계산 및 회계용기계"
A005940,NH투자증권,증권,19750930,"증권업,종합금융"
